epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2177.68,1.66948,0.92829,1.15717,0.90963,0.84195,0.88616,0.48544,1.55611,0.81454,1.1103,0.01468,0.01468,0.01468
44,2224.27,1.65369,0.89198,1.16516,0.87762,0.82813,0.8719,0.44481,1.67002,0.87008,1.13875,0.0145533,0.0145533,0.0145533
45,2280.15,1.66259,0.90122,1.1378,0.9039,0.85804,0.88885,0.48089,1.52558,0.81764,1.09653,0.0144267,0.0144267,0.0144267
46,2337.13,1.63314,0.90061,1.14911,0.89151,0.82296,0.86957,0.45545,1.60633,0.8451,1.12227,0.0143,0.0143,0.0143
47,2390.91,1.64235,0.89327,1.14042,0.91328,0.84772,0.88304,0.48273,1.5417,0.7903,1.1013,0.0141733,0.0141733,0.0141733
48,2445.68,1.66278,0.89931,1.15613,0.8989,0.84176,0.87813,0.47475,1.57308,0.79329,1.10526,0.0140467,0.0140467,0.0140467
49,2501.42,1.63235,0.87064,1.14303,0.90456,0.83788,0.88989,0.48587,1.52932,0.78095,1.09444,0.01392,0.01392,0.01392
50,2554.4,1.60778,0.87344,1.14753,0.92701,0.85462,0.89999,0.49234,1.52707,0.76516,1.09922,0.0137933,0.0137933,0.0137933
51,2609.65,1.63251,0.8939,1.14288,0.88778,0.84351,0.88558,0.46924,1.58357,0.80559,1.11212,0.0136667,0.0136667,0.0136667
52,2666.13,1.62724,0.87188,1.12258,0.90927,0.85185,0.89628,0.50025,1.4935,0.76571,1.09169,0.01354,0.01354,0.01354
53,2719.25,1.64251,0.8904,1.15514,0.91686,0.85273,0.89394,0.48201,1.56162,0.77622,1.1049,0.0134133,0.0134133,0.0134133
54,2772.43,1.63855,0.87209,1.13103,0.91517,0.83081,0.88432,0.47773,1.5756,0.85171,1.10775,0.0132867,0.0132867,0.0132867
55,2826.99,1.62904,0.8594,1.12252,0.90592,0.83683,0.87096,0.47472,1.52989,0.76828,1.10229,0.01316,0.01316,0.01316
56,2880.7,1.62143,0.86491,1.13529,0.91555,0.87246,0.90777,0.49105,1.5533,0.75221,1.10046,0.0130333,0.0130333,0.0130333
57,2933.59,1.61093,0.84791,1.1187,0.92473,0.86579,0.90665,0.50096,1.50767,0.74496,1.0848,0.0129067,0.0129067,0.0129067
58,2982.74,1.5922,0.82683,1.1456,0.91488,0.86076,0.89828,0.49941,1.52563,0.74957,1.09594,0.01278,0.01278,0.01278
59,3034.41,1.59741,0.83569,1.11748,0.91694,0.8593,0.90334,0.50278,1.50814,0.72712,1.0853,0.0126533,0.0126533,0.0126533
60,3089.63,1.58897,0.84197,1.13494,0.91832,0.85463,0.89906,0.50034,1.52693,0.74405,1.08498,0.0125267,0.0125267,0.0125267
61,3142.45,1.57861,0.83292,1.11632,0.90824,0.84473,0.89004,0.47326,1.60415,0.79597,1.11575,0.0124,0.0124,0.0124
62,3194.9,1.58653,0.8277,1.11552,0.92393,0.87009,0.91057,0.50816,1.47505,0.71358,1.07693,0.0122733,0.0122733,0.0122733
63,3250.55,1.60459,0.83407,1.13645,0.90069,0.86111,0.89972,0.48779,1.53863,0.76164,1.09344,0.0121467,0.0121467,0.0121467
64,3306.59,1.57906,0.82403,1.11921,0.92815,0.86746,0.90868,0.50533,1.47975,0.73484,1.08002,0.01202,0.01202,0.01202
65,3363.6,1.5973,0.84174,1.11965,0.91676,0.86783,0.90851,0.50555,1.49318,0.71977,1.08046,0.0118933,0.0118933,0.0118933
66,3425.14,1.56531,0.81429,1.13148,0.92863,0.85671,0.90615,0.50682,1.50062,0.7425,1.08371,0.0117667,0.0117667,0.0117667
67,3485.18,1.57189,0.81202,1.12217,0.9219,0.87077,0.90723,0.50475,1.48581,0.70549,1.08101,0.01164,0.01164,0.01164
68,3540.71,1.57404,0.82085,1.10509,0.9212,0.86742,0.90242,0.51147,1.49059,0.72243,1.07557,0.0115133,0.0115133,0.0115133
69,3591.12,1.59794,0.83564,1.12376,0.92359,0.87803,0.91985,0.5223,1.46601,0.70413,1.06711,0.0113867,0.0113867,0.0113867
70,3645.93,1.56688,0.81777,1.12414,0.93552,0.86699,0.90653,0.51342,1.47498,0.70397,1.0741,0.01126,0.01126,0.01126
71,3696.36,1.56766,0.81036,1.11124,0.9354,0.87303,0.91362,0.52449,1.44038,0.69184,1.06803,0.0111333,0.0111333,0.0111333
72,3754.07,1.56626,0.80456,1.11635,0.92945,0.87017,0.91336,0.51715,1.46814,0.69738,1.07082,0.0110067,0.0110067,0.0110067
