epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1533.78,1.82805,1.10998,1.48481,0.89516,0.79127,0.86366,0.43847,1.6734,1.03211,1.48542,0.01468,0.01468,0.01468
44,1580.19,1.82948,1.09541,1.5028,0.89541,0.811,0.88689,0.46278,1.62884,0.95959,1.45706,0.0145533,0.0145533,0.0145533
45,1626.98,1.80483,1.07265,1.48134,0.89453,0.81647,0.87938,0.4636,1.65833,0.94096,1.47558,0.0144267,0.0144267,0.0144267
46,1673.48,1.80938,1.09469,1.51042,0.90574,0.82011,0.89081,0.47949,1.62441,0.9162,1.45711,0.0143,0.0143,0.0143
47,1719.68,1.78642,1.04651,1.4915,0.89048,0.82279,0.88038,0.4653,1.6348,0.92298,1.44854,0.0141733,0.0141733,0.0141733
48,1766.03,1.79846,1.05679,1.48145,0.88343,0.80886,0.87287,0.44021,1.72358,0.98838,1.49221,0.0140467,0.0140467,0.0140467
49,1812.32,1.80041,1.08769,1.48977,0.87305,0.82009,0.87941,0.4685,1.62761,0.97918,1.46344,0.01392,0.01392,0.01392
50,1859.01,1.79165,1.06507,1.48114,0.90493,0.81919,0.88824,0.4668,1.63567,0.97886,1.46991,0.0137933,0.0137933,0.0137933
51,1905.55,1.81086,1.06374,1.4895,0.91298,0.81633,0.89053,0.47444,1.63984,0.91137,1.46146,0.0136667,0.0136667,0.0136667
52,1951.79,1.77972,1.07045,1.47723,0.88173,0.78527,0.85992,0.44414,1.66538,1.03384,1.47012,0.01354,0.01354,0.01354
53,1997.63,1.78232,1.06958,1.48293,0.90185,0.819,0.89045,0.4844,1.60255,0.8837,1.4471,0.0134133,0.0134133,0.0134133
54,2044.16,1.79208,1.03836,1.49437,0.92041,0.81523,0.89634,0.48275,1.62442,0.87542,1.44415,0.0132867,0.0132867,0.0132867
55,2090.36,1.76728,1.01667,1.4478,0.91163,0.84208,0.90607,0.48555,1.60186,0.86851,1.43358,0.01316,0.01316,0.01316
56,2136.35,1.74625,1.01732,1.47062,0.90254,0.8054,0.87827,0.47093,1.64151,0.93597,1.45418,0.0130333,0.0130333,0.0130333
57,2182.83,1.7622,1.01804,1.46244,0.91052,0.84392,0.90276,0.50073,1.56506,0.86097,1.40941,0.0129067,0.0129067,0.0129067
58,2229.03,1.77521,1.03859,1.4758,0.90876,0.84361,0.90007,0.49433,1.59058,0.85275,1.41934,0.01278,0.01278,0.01278
59,2275.35,1.74155,1.00578,1.45529,0.91305,0.83612,0.90112,0.50536,1.56316,0.86854,1.40974,0.0126533,0.0126533,0.0126533
60,2321.61,1.72779,1.0068,1.45741,0.92981,0.85101,0.91846,0.51638,1.5203,0.83435,1.38747,0.0125267,0.0125267,0.0125267
61,2368.12,1.74843,1.01269,1.45055,0.91619,0.83642,0.90405,0.49761,1.59188,0.82176,1.41615,0.0124,0.0124,0.0124
62,2414.38,1.7536,1.00465,1.43161,0.90363,0.83547,0.90687,0.5014,1.56353,0.84395,1.41125,0.0122733,0.0122733,0.0122733
