epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1873.06,1.67691,1.05639,1.44329,0.82063,0.81614,0.84691,0.4394,1.58623,1.14477,1.42313,0.015915,0.015915,0.015915
45,1922,1.65637,1.02678,1.41141,0.89771,0.82885,0.88511,0.46564,1.57102,0.94644,1.40797,0.01582,0.01582,0.01582
46,1968.16,1.64309,1.03835,1.43683,0.87165,0.81573,0.88281,0.47147,1.57195,0.9302,1.40947,0.015725,0.015725,0.015725
47,2012.95,1.65421,1.03622,1.42125,0.89228,0.82227,0.88263,0.45993,1.61249,0.93214,1.42997,0.01563,0.01563,0.01563
48,2060.03,1.66277,1.05166,1.43039,0.89126,0.81475,0.87825,0.4685,1.58074,0.90878,1.40946,0.015535,0.015535,0.015535
49,2104.15,1.63668,1.01164,1.40941,0.90624,0.81783,0.88959,0.48106,1.57048,0.90216,1.40354,0.01544,0.01544,0.01544
50,2148.16,1.63664,1.01574,1.41983,0.90039,0.84715,0.902,0.50135,1.48445,0.88917,1.365,0.015345,0.015345,0.015345
51,2193.51,1.64297,1.02416,1.40938,0.90334,0.83198,0.89518,0.4916,1.53438,0.89546,1.37864,0.01525,0.01525,0.01525
52,2240.07,1.64441,1.00878,1.3882,0.89147,0.81817,0.89315,0.47645,1.56181,0.90718,1.39649,0.015155,0.015155,0.015155
53,2290.75,1.6536,1.02839,1.4305,0.87747,0.84766,0.89839,0.48484,1.52142,0.9026,1.37091,0.01506,0.01506,0.01506
54,2345.75,1.64276,1.01582,1.40036,0.89784,0.8472,0.90038,0.49416,1.47124,0.86218,1.34488,0.014965,0.014965,0.014965
55,2406.49,1.64431,0.98999,1.3899,0.89684,0.82623,0.8928,0.4889,1.53401,0.8617,1.37515,0.01487,0.01487,0.01487
56,2475.45,1.62974,1.00466,1.40567,0.90919,0.84442,0.90725,0.49884,1.53651,0.85369,1.38745,0.014775,0.014775,0.014775
57,2542.58,1.63476,0.99969,1.38314,0.88962,0.84322,0.89871,0.48393,1.53129,0.90267,1.37322,0.01468,0.01468,0.01468
58,2609.16,1.60822,0.9654,1.40695,0.91591,0.83802,0.90465,0.50716,1.49506,0.83939,1.35759,0.014585,0.014585,0.014585
59,2678.74,1.62889,0.97479,1.38306,0.87713,0.81913,0.88361,0.48571,1.54361,0.87297,1.37626,0.01449,0.01449,0.01449
60,2749.6,1.61974,0.98534,1.40258,0.9094,0.8444,0.90666,0.49957,1.52761,0.85365,1.36726,0.014395,0.014395,0.014395
61,2823.04,1.61992,0.97696,1.37944,0.90278,0.85284,0.90587,0.50392,1.49131,0.82047,1.35335,0.0143,0.0143,0.0143
62,2899.35,1.61439,0.97685,1.3726,0.88085,0.85216,0.89533,0.49292,1.55068,0.87486,1.38284,0.014205,0.014205,0.014205
63,2968.6,1.63005,0.97655,1.3989,0.90493,0.84292,0.9073,0.51355,1.48344,0.84229,1.35144,0.01411,0.01411,0.01411
64,3043.6,1.60661,0.9662,1.38611,0.90581,0.83409,0.90487,0.50608,1.48165,0.84132,1.3487,0.014015,0.014015,0.014015
65,3124.26,1.62474,0.97085,1.38952,0.91191,0.84716,0.91385,0.52528,1.46006,0.81221,1.33966,0.01392,0.01392,0.01392
66,3203.94,1.60411,0.94121,1.404,0.89512,0.85725,0.91083,0.50471,1.51405,0.83109,1.35901,0.013825,0.013825,0.013825
67,3283.33,1.60311,0.96231,1.39266,0.90875,0.85083,0.91207,0.51207,1.49945,0.84372,1.35502,0.01373,0.01373,0.01373
68,3353.53,1.6054,0.93858,1.37221,0.90888,0.85171,0.91362,0.51752,1.49167,0.81382,1.34651,0.013635,0.013635,0.013635
69,3420.62,1.62954,0.96567,1.37532,0.90999,0.8621,0.91911,0.51704,1.46384,0.80505,1.3378,0.01354,0.01354,0.01354
70,3495.18,1.59037,0.95157,1.38647,0.91128,0.85307,0.90765,0.50666,1.51976,0.80049,1.36358,0.013445,0.013445,0.013445
71,3563.5,1.59994,0.95481,1.36799,0.90577,0.85962,0.91448,0.52008,1.46851,0.79133,1.34065,0.01335,0.01335,0.01335
72,3624.21,1.59304,0.94644,1.38519,0.91094,0.84537,0.91352,0.52174,1.46512,0.79527,1.34121,0.013255,0.013255,0.013255
73,3693.25,1.58503,0.94359,1.37567,0.90871,0.86173,0.91567,0.52455,1.4718,0.81011,1.3367,0.01316,0.01316,0.01316
74,3758.09,1.61448,0.94393,1.36778,0.92442,0.85145,0.91333,0.51033,1.49738,0.79121,1.35662,0.013065,0.013065,0.013065
75,3831.85,1.59885,0.9325,1.36661,0.89952,0.86969,0.92054,0.52402,1.46761,0.83494,1.33554,0.01297,0.01297,0.01297
76,3896.58,1.56968,0.92479,1.36652,0.90468,0.85316,0.91172,0.51455,1.48952,0.80855,1.3449,0.012875,0.012875,0.012875
77,3968.15,1.57694,0.93175,1.37524,0.91857,0.86917,0.92715,0.52565,1.46631,0.76675,1.33111,0.01278,0.01278,0.01278
78,4036.2,1.58717,0.9128,1.35267,0.90835,0.85905,0.92188,0.5209,1.48305,0.80711,1.33625,0.012685,0.012685,0.012685
79,4111.93,1.58324,0.91322,1.35925,0.92253,0.86098,0.9211,0.52395,1.46533,0.78247,1.3318,0.01259,0.01259,0.01259
80,4192.72,1.57402,0.92699,1.37634,0.91945,0.87535,0.92725,0.52871,1.44247,0.77237,1.31791,0.012495,0.012495,0.012495
81,4268.51,1.61105,0.94415,1.37942,0.9053,0.86688,0.92186,0.5166,1.496,0.79203,1.35247,0.0124,0.0124,0.0124
82,4340.05,1.55194,0.90644,1.35637,0.92266,0.8599,0.92343,0.52832,1.45749,0.76016,1.32172,0.012305,0.012305,0.012305
83,4412.08,1.56069,0.89174,1.35484,0.91611,0.85878,0.92063,0.52777,1.44572,0.77217,1.31935,0.01221,0.01221,0.01221
84,4491.48,1.57581,0.922,1.36086,0.92459,0.85868,0.92462,0.53366,1.43051,0.76647,1.31092,0.012115,0.012115,0.012115
85,4565.52,1.56769,0.92382,1.34942,0.92705,0.86797,0.92949,0.53776,1.43282,0.75973,1.31056,0.01202,0.01202,0.01202
86,4637.92,1.55876,0.91473,1.35645,0.91385,0.85809,0.9233,0.51144,1.47978,0.79023,1.33551,0.011925,0.011925,0.011925
87,4716.25,1.57035,0.89285,1.34036,0.90758,0.8682,0.92332,0.52423,1.47431,0.81614,1.33561,0.01183,0.01183,0.01183
88,4791.55,1.5547,0.88889,1.34649,0.92291,0.87157,0.92688,0.52944,1.452,0.75822,1.32485,0.011735,0.011735,0.011735
89,4859.04,1.57713,0.88974,1.35496,0.9186,0.8676,0.92907,0.53814,1.44392,0.75006,1.31442,0.01164,0.01164,0.01164
90,4935.38,1.56033,0.90227,1.34992,0.92034,0.87379,0.93133,0.54528,1.41803,0.74487,1.3012,0.011545,0.011545,0.011545
91,5016.85,1.54263,0.87753,1.34768,0.9208,0.87351,0.92874,0.53474,1.42484,0.74837,1.3033,0.01145,0.01145,0.01145
92,5089.22,1.53867,0.89147,1.34365,0.92513,0.86788,0.92855,0.53444,1.44415,0.78286,1.31291,0.011355,0.011355,0.011355
93,5163.76,1.56922,0.88476,1.33521,0.92675,0.87403,0.93475,0.53963,1.4295,0.75265,1.30842,0.01126,0.01126,0.01126
94,5231.61,1.55789,0.88386,1.3456,0.93101,0.86893,0.92967,0.53489,1.45219,0.74631,1.31467,0.011165,0.011165,0.011165
95,5307.29,1.55217,0.88745,1.33637,0.9276,0.87238,0.93034,0.53732,1.44399,0.73187,1.31629,0.01107,0.01107,0.01107
96,5376.25,1.55747,0.8896,1.34515,0.92237,0.87377,0.9255,0.52751,1.45884,0.7652,1.32849,0.010975,0.010975,0.010975
97,5456.65,1.55568,0.87498,1.33772,0.92488,0.87306,0.93024,0.53346,1.43896,0.74322,1.30982,0.01088,0.01088,0.01088
98,5528.06,1.55714,0.87997,1.32776,0.9247,0.87595,0.93337,0.54121,1.41287,0.72405,1.29731,0.010785,0.010785,0.010785
99,5608.95,1.54164,0.88701,1.33923,0.93976,0.86949,0.93467,0.54736,1.41582,0.72818,1.29934,0.01069,0.01069,0.01069
100,5680.74,1.53709,0.88035,1.33392,0.93101,0.8705,0.92903,0.53951,1.43487,0.73456,1.30559,0.010595,0.010595,0.010595
101,5768.72,1.53907,0.86882,1.32466,0.93151,0.86839,0.93071,0.54068,1.4168,0.72315,1.29735,0.0105,0.0105,0.0105
102,5845.48,1.5469,0.86639,1.34576,0.92297,0.87726,0.93349,0.54211,1.42282,0.72769,1.30046,0.010405,0.010405,0.010405
103,5914.23,1.53461,0.8601,1.33349,0.92602,0.87532,0.93563,0.5427,1.41905,0.7304,1.30237,0.01031,0.01031,0.01031
104,5988.34,1.53403,0.85388,1.3301,0.92305,0.87344,0.93248,0.53729,1.42775,0.74193,1.30445,0.010215,0.010215,0.010215
